Symbol,marketCap,trailingPE,forwardPE,pegRatio,priceToBook,trailingEps,forwardEps,bookValue,payoutRatio,beta,fiveYearAvgDividendYield,52WeekChange,averageVolume,enterpriseToRevenue,profitMargins
MMM,-0.0992527274905308,0.5403736936383197,-0.17657469164604683,-0.252681163850666,0.3003916248712543,-0.23118114538508563,-0.11265953731565782,-0.046831536315431244,0.25287491943630824,-0.12117391738164356,1.5606977105161826,1.490813356708663,-0.07850027226215991,-0.5704943490396327,-0.8085076661613723
AOS,-0.3049749962178228,-0.35449138324410595,-0.1086431509542661,-0.0672791624668145,-0.08329007268757409,-0.1781328236577419,-0.25001031221242387,-0.04651507029713756,-0.10393142431174213,0.23591110498460688,-0.09438344685627034,-0.3681096394045344,-0.2576432985469871,-0.45205066803203864,0.0674963914892613
ABT,0.3240045448365446,0.0972838720156094,-0.01476595734634289,-0.04255889561563429,-0.1116547065641057,-0.20669730458785007,-0.21238496696144807,-0.04601271555894969,-0.031966257040294335,-0.7541882752127238,-0.1575544833972037,-0.276735504418906,0.0237425891306185,-0.020748173049839874,-0.009004270423532062
ABBV,0.7497599304706114,0.8310440330574623,-0.2228698876105186,-0.04766416811750846,1.1985525481175787,-0.21404245682702075,0.040764200600942525,-0.04700567466635719,0.2527910439426461,-0.9953366020055162,1.453306948396596,-0.07547427183096739,-0.03946895127868249,0.39041490815834046,-0.3017739262864068
ACN,0.4099961944165659,-0.03680137619381356,0.08571269702169486,-0.044171086932015616,-0.024228965196405335,0.1303635703874261,0.11163135573384839,-0.044814177924187674,-0.07763646753310023,0.4445971570168313,-0.34706759302000356,-0.2790227318196271,-0.17621431792608147,-0.34018719152486643,-0.19122326990618832
ADBE,0.37750699318947567,0.25003290224559926,0.03036503082422549,-0.07050354509957713,0.18920845290335878,0.14505387486576743,0.3505340333468404,-0.04547881478515334,-0.17220608244338015,0.5605338525902888,-1.1177542388193902,-1.1400378315617974,-0.16084565732135186,1.06737837115629,0.8788948710953899
AMD,0.4803815531562095,4.173557646605177,0.15529019664311638,-0.0866254582633903,-0.13355866549716758,-0.30136815567049424,-0.2017914231529209,-0.045359299771052804,-0.17220608244338015,1.5019398206467673,-1.19355948266851,0.6290571348097717,2.27573263381274,1.0974877917491297,-0.5909749603406345
AES,-0.30235350171822284,-0.46619081373335824,-0.43127217017905073,-0.08447586984154855,-0.14523163448260407,-0.29320687540474905,-0.32453041348620115,-0.04697868057548417,-0.03704072440685336,0.052731125978543465,0.7394742354840494,-0.16076047353941364,0.1564698524631024,-0.33420518743357375,-0.5724631203716107
AFL,-0.13626030097032246,-0.6031286063777168,-0.21622284484639184,-0.07641491325964195,-0.19341188789426852,0.051607215822985074,-0.14042192798628073,-0.04475293838861888,-0.13154743898754867,-0.22783567730922494,0.29727697969751615,0.30374799141984965,-0.18038948764687482,-0.3581332037987443,1.0835657884088143
A,-0.2132933053421704,-0.13201761263380216,0.034363136924714086,0.02703402954149256,-0.06551342417031387,-0.13977480640873957,-0.19375494164300372,-0.04612217395096028,-0.13152647011413313,0.0179501173065058,-0.7766306414983501,0.05511584599721191,-0.22796169335339594,0.26818262455959424,0.5934109996379946
